s05751_25deg, 26.02.2025, 15:11
Diameter[mm]: 1.300e+01  Thickness[mm]: 7.500e-01  Spacer Capacity[pF]: 0.000e+00  Spacer Area[mm^2] 0.000e+00  Edge Correction On  Electrode Thickness[mm]: 4.00e+00
Fixed value(s) :  AC Volt  [Vrms]=7.1000e-03  
     Freq.[Hz]	      Zs'[ohm]	     Zs''[ohm]
 1.0000000e+06	 3.8055903e+03	-6.3180615e+03
 7.4053000e+05	 4.6881514e+03	-7.8459375e+03
 5.4838000e+05	 5.8680171e+03	-9.6794131e+03
 4.0609000e+05	 7.4985796e+03	-1.1842279e+04
 3.0073000e+05	 9.6152881e+03	-1.4189921e+04
 2.2270000e+05	 1.2388591e+04	-1.6886488e+04
 1.6491000e+05	 1.5855301e+04	-1.9586543e+04
 1.2212000e+05	 2.0057041e+04	-2.2305650e+04
 9.0436000e+04	 2.5053475e+04	-2.4780773e+04
 6.6970000e+04	 3.0709719e+04	-2.7031045e+04
 4.9593000e+04	 3.6987930e+04	-2.8702729e+04
 3.6725000e+04	 4.3716285e+04	-2.9689453e+04
 2.7196000e+04	 5.0606527e+04	-2.9908811e+04
 2.0140000e+04	 5.7497066e+04	-2.9330705e+04
 1.4914000e+04	 6.4032379e+04	-2.7979631e+04
 1.1044000e+04	 7.0044172e+04	-2.6053498e+04
 8.1786001e+03	 7.5419125e+04	-2.3675668e+04
 6.0565000e+03	 7.9960688e+04	-2.1026711e+04
 4.4850000e+03	 8.3711367e+04	-1.8327033e+04
 3.3213000e+03	 8.6705703e+04	-1.5750433e+04
 2.4595000e+03	 8.9083297e+04	-1.3459458e+04
 1.8213000e+03	 9.0947961e+04	-1.1500784e+04
 1.3488000e+03	 9.2434414e+04	-9.9025244e+03
 9.9878998e+02	 9.3659805e+04	-8.6902090e+03
 7.3964001e+02	 9.4714938e+04	-7.7570107e+03
 5.4771997e+02	 9.5664211e+04	-7.1403867e+03
 4.0560001e+02	 9.6569086e+04	-6.7661699e+03
 3.0035999e+02	 9.7453562e+04	-6.6197065e+03
 2.2242999e+02	 9.8358047e+04	-6.6491147e+03
 1.6471001e+02	 9.9333375e+04	-6.8723809e+03
 1.2198000e+02	 1.0035593e+05	-7.2664395e+03
 9.0325996e+01	 1.0144551e+05	-7.8351694e+03
 6.6889000e+01	 1.0263973e+05	-8.5777812e+03
 4.9534000e+01	 1.0394664e+05	-9.5600205e+03
 3.6681000e+01	 1.0537837e+05	-1.0808000e+04
 2.7163000e+01	 1.0699320e+05	-1.2339541e+04
 2.0115000e+01	 1.0881091e+05	-1.4214245e+04
 1.4896000e+01	 1.1089159e+05	-1.6517275e+04
 1.1031000e+01	 1.1330308e+05	-1.9337680e+04
 8.1687002e+00	 1.1611035e+05	-2.2740090e+04
 6.0492001e+00	 1.1942312e+05	-2.6882535e+04
 4.4796000e+00	 1.2335145e+05	-3.1856982e+04
 3.3173001e+00	 1.2803263e+05	-3.7842574e+04
 2.4565001e+00	 1.3363141e+05	-4.5004898e+04
 1.8191000e+00	 1.4033539e+05	-5.3513750e+04
 1.3471000e+00	 1.4848112e+05	-6.3661836e+04
 9.9759001e-01	 1.5790039e+05	-7.5851820e+04
 7.3874003e-01	 1.6921816e+05	-8.9925453e+04
 5.4706001e-01	 1.8283728e+05	-1.0677773e+05
 4.0511000e-01	 1.9898844e+05	-1.2690893e+05
 3.0000001e-01	 2.1831467e+05	-1.5082122e+05
