LAGP dynamicVT, 1.12.2020, 14:42
Fixed value(s) :  AC Volt  [Vrms]=7.1000e-03  
 Freq. [Hz]	 Zs' [Ohms]	 Zs'' [Ohms]
1.00000e+06	3.60382e+03	-8.57835e+03
7.54300e+05	5.10527e+03	-1.04285e+04
5.69000e+05	7.12607e+03	-1.23529e+04
4.29200e+05	9.73004e+03	-1.42599e+04
3.23700e+05	1.29396e+04	-1.59548e+04
2.44200e+05	1.66510e+04	-1.72849e+04
1.84200e+05	2.07469e+04	-1.79953e+04
1.38900e+05	2.49575e+04	-1.82290e+04
1.04800e+05	2.89988e+04	-1.77836e+04
7.90600e+04	3.27080e+04	-1.69068e+04
5.96400e+04	3.59335e+04	-1.57336e+04
4.49800e+04	3.87030e+04	-1.44635e+04
3.39300e+04	4.09725e+04	-1.32291e+04
2.56000e+04	4.28390e+04	-1.22866e+04
1.93100e+04	4.44174e+04	-1.16578e+04
1.45600e+04	4.58339e+04	-1.14233e+04
1.09900e+04	4.72219e+04	-1.15980e+04
8.28600e+03	4.87333e+04	-1.22048e+04
6.25100e+03	5.04913e+04	-1.31824e+04
4.71500e+03	5.26318e+04	-1.44803e+04
3.55600e+03	5.52873e+04	-1.59694e+04
2.68300e+03	5.85286e+04	-1.74301e+04
2.02400e+03	6.23716e+04	-1.86530e+04
1.52600e+03	6.66818e+04	-1.93663e+04
1.15100e+03	7.11952e+04	-1.93862e+04
8.68500e+02	7.55248e+04	-1.86673e+04
6.55100e+02	7.94264e+04	-1.73623e+04
4.94200e+02	8.26042e+04	-1.57237e+04
3.72800e+02	8.51092e+04	-1.41798e+04
2.81200e+02	8.69921e+04	-1.28494e+04
2.12100e+02	8.84070e+04	-1.19346e+04
1.60000e+02	8.95389e+04	-1.15559e+04
1.20700e+02	9.04749e+04	-1.17482e+04
9.10300e+01	9.13114e+04	-1.25708e+04
6.86600e+01	9.21276e+04	-1.41233e+04
5.17900e+01	9.30558e+04	-1.65314e+04
3.90700e+01	9.40205e+04	-1.97841e+04
2.94700e+01	9.51664e+04	-2.42342e+04
2.22300e+01	9.65378e+04	-3.01858e+04
1.67700e+01	9.82303e+04	-3.79254e+04
1.26500e+01	1.00274e+05	-4.80193e+04
9.54100e+00	1.02963e+05	-6.10285e+04
7.19700e+00	1.06310e+05	-7.78478e+04
5.42900e+00	1.10639e+05	-9.94614e+04
4.09500e+00	1.16136e+05	-1.27181e+05
3.08900e+00	1.23332e+05	-1.62797e+05
2.33000e+00	1.32656e+05	-2.08440e+05
1.75800e+00	1.44954e+05	-2.66679e+05
1.32600e+00	1.61167e+05	-3.41095e+05
1.00000e+00	1.82762e+05	-4.35920e+05
