s04147-120deg
Fixed value(s) :  AC Volt  [Vrms]=3.5000e-02  
   Freq.[Hz]   	Zs'[ohm]  	Zs''[ohm]
 1.00000e+06	 1.73627e+04	-6.88145e+04
 6.60030e+05	 2.73385e+04	-8.78597e+04
 4.35640e+05	 4.38517e+04	-1.25901e+05
 2.87530e+05	 7.32374e+04	-1.75181e+05
 1.89780e+05	 1.13301e+05	-2.26719e+05
 1.25260e+05	 1.60346e+05	-2.95212e+05
 8.26750e+04	 2.30750e+05	-3.70850e+05
 5.45680e+04	 3.16526e+05	-4.77087e+05
 3.60160e+04	 4.28174e+05	-5.97548e+05
 2.37720e+04	 5.72852e+05	-7.42788e+05
 1.56900e+04	 7.35342e+05	-9.11054e+05
 1.03560e+04	 9.48218e+05	-1.12854e+06
 6.83520e+03	 1.24026e+06	-1.41940e+06
 4.51140e+03	 1.61706e+06	-1.74600e+06
 2.97770e+03	 2.14117e+06	-2.11100e+06
 1.96530e+03	 2.86746e+06	-2.44207e+06
 1.29720e+03	 3.74500e+06	-2.63763e+06
 8.56170e+02	 4.62552e+06	-2.55748e+06
 5.65100e+02	 5.46200e+06	-2.31912e+06
 3.72980e+02	 6.09338e+06	-1.94731e+06
 2.46180e+02	 6.57398e+06	-1.56884e+06
 1.62480e+02	 6.86126e+06	-1.26157e+06
 1.07240e+02	 7.11166e+06	-1.03049e+06
 7.07840e+01	 7.28907e+06	-8.46081e+05
 4.67200e+01	 7.43414e+06	-7.10578e+05
 3.08360e+01	 7.56642e+06	-6.13674e+05
 2.03530e+01	 7.68418e+06	-5.50030e+05
 1.34330e+01	 7.79546e+06	-5.11618e+05
 8.86640e+00	 7.90108e+06	-4.95594e+05
 5.85210e+00	 8.01084e+06	-4.97624e+05
 3.86250e+00	 8.12569e+06	-5.12765e+05
 2.54940e+00	 8.24242e+06	-5.35220e+05
 1.68270e+00	 8.37360e+06	-5.71156e+05
 1.11060e+00	 8.51561e+06	-6.22337e+05
 7.33030e-01	 8.63904e+06	-6.93148e+05
 4.83820e-01	 8.77753e+06	-7.90096e+05
 3.19340e-01	 8.95120e+06	-9.15801e+05
 2.10770e-01	 9.14196e+06	-1.08248e+06
 1.39110e-01	 9.36027e+06	-1.30038e+06
 9.18200e-02	 9.62172e+06	-1.58391e+06
 6.06040e-02	 9.94594e+06	-1.95301e+06
 4.00000e-02	 1.03494e+07	-2.43174e+06
