s04147-140deg 
Fixed value(s) :  AC Volt  [Vrms]=3.5000e-02  
   Freq.[Hz]   	Zs'[ohm]  	Zs''[ohm]
 1.00000e+06	 2.21423e+04	-5.43115e+04
 6.55410e+05	 3.26738e+04	-7.27024e+04
 4.29570e+05	 5.02668e+04	-9.43515e+04
 2.81540e+05	 7.26103e+04	-1.22862e+05
 1.84530e+05	 1.03005e+05	-1.53715e+05
 1.20940e+05	 1.43338e+05	-1.92204e+05
 7.92670e+04	 1.87434e+05	-2.37502e+05
 5.19520e+04	 2.46442e+05	-2.92326e+05
 3.40500e+04	 3.19296e+05	-3.62807e+05
 2.23170e+04	 4.16838e+05	-4.45104e+05
 1.46270e+04	 5.43345e+05	-5.46635e+05
 9.58660e+03	 7.25705e+05	-6.45174e+05
 6.28320e+03	 9.55893e+05	-7.22540e+05
 4.11810e+03	 1.22093e+06	-7.39595e+05
 2.69910e+03	 1.47643e+06	-6.80444e+05
 1.76900e+03	 1.67755e+06	-5.76678e+05
 1.15940e+03	 1.81921e+06	-4.60493e+05
 7.59900e+02	 1.90900e+06	-3.61969e+05
 4.98050e+02	 1.97926e+06	-2.85980e+05
 3.26430e+02	 2.02684e+06	-2.21751e+05
 2.13950e+02	 2.06530e+06	-1.77040e+05
 1.40220e+02	 2.09502e+06	-1.44752e+05
 9.19040e+01	 2.11855e+06	-1.21020e+05
 6.02350e+01	 2.13983e+06	-1.05126e+05
 3.94790e+01	 2.15902e+06	-9.59083e+04
 2.58750e+01	 2.17805e+06	-9.11863e+04
 1.69590e+01	 2.19803e+06	-9.03172e+04
 1.11150e+01	 2.21712e+06	-9.30801e+04
 7.28490e+00	 2.23739e+06	-9.92373e+04
 4.77460e+00	 2.25969e+06	-1.10596e+05
 3.12940e+00	 2.28328e+06	-1.24913e+05
 2.05100e+00	 2.30881e+06	-1.45027e+05
 1.34430e+00	 2.34415e+06	-1.74459e+05
 8.81050e-01	 2.38161e+06	-2.10588e+05
 5.77450e-01	 2.41667e+06	-2.63350e+05
 3.78470e-01	 2.47225e+06	-3.30334e+05
 2.48050e-01	 2.53926e+06	-4.16039e+05
 1.62580e-01	 2.62460e+06	-5.27178e+05
 1.06560e-01	 2.73495e+06	-6.71147e+05
 6.98380e-02	 2.87666e+06	-8.57520e+05
 4.57730e-02	 3.05509e+06	-1.09773e+06
 3.00000e-02	 3.27266e+06	-1.40853e+06
