s04147-160deg
Fixed value(s) :  AC Volt  [Vrms]=3.5000e-02  
   Freq.[Hz]   	Zs'[ohm]  	Zs''[ohm]
 1.00000e+06	 2.11122e+04	-3.95568e+04
 6.55410e+05	 3.16094e+04	-4.99539e+04
 4.29570e+05	 4.38743e+04	-6.30799e+04
 2.81540e+05	 6.06808e+04	-7.82133e+04
 1.84530e+05	 7.94212e+04	-9.64435e+04
 1.20940e+05	 1.04196e+05	-1.18388e+05
 7.92670e+04	 1.34330e+05	-1.44843e+05
 5.19520e+04	 1.74645e+05	-1.77757e+05
 3.40500e+04	 2.29701e+05	-2.12958e+05
 2.23170e+04	 3.01882e+05	-2.44948e+05
 1.46270e+04	 3.91365e+05	-2.60303e+05
 9.58660e+03	 4.86077e+05	-2.50018e+05
 6.28320e+03	 5.67513e+05	-2.17651e+05
 4.11810e+03	 6.25603e+05	-1.76642e+05
 2.69910e+03	 6.65073e+05	-1.36330e+05
 1.76900e+03	 6.89921e+05	-1.03583e+05
 1.15940e+03	 7.06533e+05	-7.83844e+04
 7.59900e+02	 7.19592e+05	-5.96510e+04
 4.98050e+02	 7.27674e+05	-4.53271e+04
 3.26430e+02	 7.33808e+05	-3.62090e+04
 2.13950e+02	 7.39413e+05	-2.95981e+04
 1.40220e+02	 7.44079e+05	-2.53479e+04
 9.19040e+01	 7.48198e+05	-2.28437e+04
 6.02350e+01	 7.51837e+05	-2.17579e+04
 3.94790e+01	 7.56054e+05	-2.19676e+04
 2.58750e+01	 7.60513e+05	-2.31681e+04
 1.69590e+01	 7.65317e+05	-2.56747e+04
 1.11150e+01	 7.70744e+05	-2.94721e+04
 7.28490e+00	 7.76909e+05	-3.47332e+04
 4.77460e+00	 7.84260e+05	-4.22506e+04
 3.12940e+00	 7.93162e+05	-5.24274e+04
 2.05100e+00	 8.04041e+05	-6.58239e+04
 1.34430e+00	 8.17938e+05	-8.39504e+04
 8.81050e-01	 8.34850e+05	-1.06348e+05
 5.77450e-01	 8.57963e+05	-1.36650e+05
 3.78470e-01	 8.87093e+05	-1.77000e+05
 2.48050e-01	 9.24492e+05	-2.28754e+05
 1.62580e-01	 9.72724e+05	-2.94144e+05
 1.06560e-01	 1.03491e+06	-3.76816e+05
 6.98380e-02	 1.11321e+06	-4.81831e+05
 4.57730e-02	 1.20961e+06	-6.16772e+05
 3.00000e-02	 1.32853e+06	-7.93978e+05
