s04147_ex-situ_EIS-170deg
Fixed value(s) :  AC Volt  [Vrms]=3.5000e-02  
   Freq.[Hz]   	Zs'[ohm]  	Zs''[ohm]
 1.00000e+06	 2.07915e+04	-3.33040e+04
 6.55410e+05	 2.85542e+04	-4.14980e+04
 4.29570e+05	 3.97363e+04	-5.08065e+04
 2.81540e+05	 5.15622e+04	-6.29059e+04
 1.84530e+05	 6.72818e+04	-7.66213e+04
 1.20940e+05	 8.71333e+04	-9.37126e+04
 7.92670e+04	 1.14289e+05	-1.13819e+05
 5.19520e+04	 1.49968e+05	-1.35033e+05
 3.40500e+04	 1.97324e+05	-1.53131e+05
 2.23170e+04	 2.53495e+05	-1.59759e+05
 1.46270e+04	 3.10943e+05	-1.50490e+05
 9.58660e+03	 3.58224e+05	-1.28057e+05
 6.28320e+03	 3.91133e+05	-1.02091e+05
 4.11810e+03	 4.12896e+05	-7.77497e+04
 2.69910e+03	 4.26239e+05	-5.83289e+04
 1.76900e+03	 4.35256e+05	-4.33364e+04
 1.15940e+03	 4.41256e+05	-3.25639e+04
 7.59900e+02	 4.45763e+05	-2.46569e+04
 4.98050e+02	 4.48935e+05	-1.91257e+04
 3.26430e+02	 4.51839e+05	-1.54327e+04
 2.13950e+02	 4.53932e+05	-1.30764e+04
 1.40220e+02	 4.55696e+05	-1.17741e+04
 9.19040e+01	 4.57449e+05	-1.12717e+04
 6.02350e+01	 4.59708e+05	-1.14892e+04
 3.94790e+01	 4.61895e+05	-1.23661e+04
 2.58750e+01	 4.64388e+05	-1.38910e+04
 1.69590e+01	 4.67210e+05	-1.62339e+04
 1.11150e+01	 4.70522e+05	-1.94961e+04
 7.28490e+00	 4.74472e+05	-2.38635e+04
 4.77460e+00	 4.79373e+05	-2.99279e+04
 3.12940e+00	 4.85442e+05	-3.79673e+04
 2.05100e+00	 4.93163e+05	-4.86070e+04
 1.34430e+00	 5.03601e+05	-6.24783e+04
 8.81050e-01	 5.15800e+05	-8.05954e+04
 5.77450e-01	 5.33144e+05	-1.03729e+05
 3.78470e-01	 5.56021e+05	-1.34384e+05
 2.48050e-01	 5.85447e+05	-1.73480e+05
 1.62580e-01	 6.23100e+05	-2.22416e+05
 1.06560e-01	 6.70630e+05	-2.83765e+05
 6.98380e-02	 7.29800e+05	-3.61497e+05
 4.57730e-02	 8.02011e+05	-4.61894e+05
