# Single Chi-Square Fitted Data
# Temperature: 160°C
# Frequency Range: 3.00e-02 - 1.00e+06 Hz

Freq.[Hz]	 Zs'[ohm] 	 Zs''[ohm]
1.000000e+06	2.107501e+04	-3.963427e+04
6.554100e+05	3.114497e+04	-5.102037e+04
4.295700e+05	4.433312e+04	-6.379917e+04
2.815400e+05	6.033508e+04	-7.822817e+04
1.845300e+05	7.911543e+04	-9.560843e+04
1.209400e+05	1.019851e+05	-1.178629e+05
7.926700e+04	1.320217e+05	-1.462645e+05
5.195200e+04	1.736328e+05	-1.800118e+05
3.405000e+04	2.310953e+05	-2.148998e+05
2.231700e+04	3.057744e+05	-2.429887e+05
1.462700e+04	3.929142e+05	-2.550714e+05
9.586600e+03	4.815515e+05	-2.460936e+05
6.283200e+03	5.597257e+05	-2.189290e+05
4.118100e+03	6.206531e+05	-1.820687e+05
2.699100e+03	6.640385e+05	-1.440828e+05
1.769000e+03	6.932986e+05	-1.103070e+05
1.159400e+03	7.125655e+05	-8.280086e+04
7.599000e+02	7.252447e+05	-6.160731e+04
4.980500e+02	7.337374e+05	-4.588803e+04
3.264300e+02	7.396184e+05	-3.459709e+04
2.139500e+02	7.439005e+05	-2.677482e+04
1.402200e+02	7.472430e+05	-2.164857e+04
9.190400e+01	7.500908e+05	-1.864826e+04
6.023500e+01	7.527673e+05	-1.738217e+04
3.947900e+01	7.555292e+05	-1.761409e+04
2.587500e+01	7.586055e+05	-1.923965e+04
1.695900e+01	7.622235e+05	-2.227129e+04
1.111500e+01	7.666314e+05	-2.683200e+04
7.284900e+00	7.721168e+05	-3.315560e+04
4.774600e+00	7.790285e+05	-4.159746e+04
3.129400e+00	7.877985e+05	-5.265147e+04
2.051000e+00	7.989726e+05	-6.698145e+04
1.344300e+00	8.132378e+05	-8.545121e+04
8.810500e-01	8.314768e+05	-1.091915e+05
5.774500e-01	8.548085e+05	-1.396497e+05
3.784700e-01	8.846669e+05	-1.786919e+05
2.480500e-01	9.228887e+05	-2.287150e+05
1.625800e-01	9.718139e+05	-2.927786e+05
1.065600e-01	1.034450e+06	-3.748190e+05
6.983800e-02	1.114658e+06	-4.798900e+05
4.577300e-02	1.217341e+06	-6.144147e+05
3.000000e-02	1.348815e+06	-7.866674e+05
