# Single Chi-Square Fitted Data
# Temperature: 170°C
# Frequency Range: 4.58e-02 - 1.00e+06 Hz
# Freq.[Hz]	 Zs'[ohm] 	 Zs''[ohm]
1.000000e+06	2.026557e+04	-3.344192e+04
6.554100e+05	2.905536e+04	-4.175171e+04
4.295700e+05	3.970955e+04	-5.096790e+04
2.815400e+05	5.209542e+04	-6.191494e+04
1.845300e+05	6.698353e+04	-7.590751e+04
1.209400e+05	8.643527e+04	-9.385607e+04
7.926700e+04	1.134673e+05	-1.151560e+05
5.195200e+04	1.509391e+05	-1.367270e+05
3.405000e+04	1.993755e+05	-1.528991e+05
2.231700e+04	2.547607e+05	-1.576053e+05
1.462700e+04	3.091551e+05	-1.484511e+05
9.586600e+03	3.550527e+05	-1.286413e+05
6.283200e+03	3.892152e+05	-1.043380e+05
4.118100e+03	4.125498e+05	-8.078067e+04
2.699100e+03	4.277521e+05	-6.072177e+04
1.769000e+03	4.374990e+05	-4.489978e+04
1.159400e+03	4.437918e+05	-3.300573e+04
7.599000e+02	4.479571e+05	-2.436311e+04
4.980500e+02	4.508319e+05	-1.826863e+04
3.264300e+02	4.529389e+05	-1.412789e+04
2.139500e+02	4.546125e+05	-1.148415e+04
1.402200e+02	4.560781e+05	-1.000994e+04
9.190400e+01	4.574998e+05	-9.488401e+03
6.023500e+01	4.590114e+05	-9.792977e+03
3.947900e+01	4.607351e+05	-1.087357e+04
2.587500e+01	4.627959e+05	-1.274698e+04
1.695900e+01	4.653333e+05	-1.549278e+04
1.111500e+01	4.685121e+05	-1.925486e+04
7.284900e+00	4.725336e+05	-2.424652e+04
4.774600e+00	4.776495e+05	-3.076240e+04
3.129400e+00	4.841771e+05	-3.919409e+04
2.051000e+00	4.925216e+05	-5.005597e+04
1.344300e+00	5.031957e+05	-6.400942e+04
8.810500e-01	5.168609e+05	-8.191458e+04
5.774500e-01	5.343572e+05	-1.048688e+05
3.784700e-01	5.567625e+05	-1.342843e+05
2.480500e-01	5.854589e+05	-1.719739e+05
1.625800e-01	6.222082e+05	-2.202505e+05
1.065600e-01	6.692765e+05	-2.820901e+05
6.983800e-02	7.295727e+05	-3.613142e+05
4.577300e-02	8.067946e+05	-4.627807e+05
